HudongItem,relation,NewNode
安图县,contains administrative territorial entity,新合乡 (安图县)
心绞痛,drug used for treatment,isosorbide
BA,item operated,Concorde 204
Japan,capital,平安京
安图县,contains administrative territorial entity,永庆乡 (安图县)
心绞痛,described by source,亚美尼亚苏维埃百科全书
BA,item operated,Concorde 206
Japan,capital,江户
安图县,located in time zone,UTC+08:00
BA,item operated,Concorde 208
Japan,capital,紫香乐宫
安图县,topic's main category,Category:安图县
BA,item operated,Concorde 210
Cactus,instance of,生物分类单元
sign,subclass of,生理状况
混合物,instance of,生物学兴趣的化学本体本体术语
紫菀,instance of,生物分类单元
Goldcrest,instance of,生物分类单元
Japan,capital,福原京
BA,item operated,Concorde 212
马来西亚,flag,马来西亚国旗
杆菌肽,instance of,药物治疗
sign,subclass of,clinical finding
BA,item operated,Concorde 214
马来西亚,coat of arms,马来西亚国徽
Peters,instance of,人类
海牛科,instance of,生物分类单元
玉兰花,instance of,生物分类单元
吐,instance of,症状
杆菌肽,active ingredient in,Baci-IM
混合物,has quality,同质与异质
紫菀,parent taxon,紫菀属
Goldcrest,parent taxon,戴菊属
BA,item operated,Concorde 216
全唐诗话,author,尤袤
静电力,named after,夏尔·奥古斯丁·库仑
吐,subclass of,医学征象
Cactus,taxonomic type,Cactus mammillaris
杆菌肽,medical condition treated,伪膜性结肠炎
sign,topic's main template,Template:Symptoms and signs
混合物,topic's main category,Category:混合物
Goldcrest,IUCN conservation status,无危物种
BA,topic's main category,Category:英国航空 (公司)
马来西亚,electrical plug type,Type A
布鲁,instance of,法国市镇
Stuart,instance of,人类
海牛科,parent taxon,Trichechidae
玉兰花,parent taxon,木兰属
静电力,described by source,亚美尼亚苏维埃百科全书
杆菌肽,medical condition treated,Staphylococcal infection
sign,topic's main category,Category:病征
BA,different from,英国航空有限公司
马来西亚,electrical plug type,欧式插头
砖,subclass of,artificial stone
氨基比林,instance of,药物治疗
Peters,country of citizenship,德意志邦联
海牛科,topic's main category,Category:Trichechus
吐,has cause,胃轻瘫
杆菌肽,pregnancy category,Australian pregnancy category D
sign,said to be the same as,症状
马来西亚,electrical plug type,BS 1363
清水,located in the administrative territorial entity,杉并区
布鲁,capital of,canton of Brou
砖,used by,泥水匠
Peters,country of citizenship,德意志帝国
玉兰花,this taxon is source of,Magnoliae Flos
吐,has cause,偏头痛
杆菌肽,pregnancy category,US pregnancy category C
Japan,deepest point,八郎潟
马来西亚,electrical plug type,BS 546
布鲁,located in the administrative territorial entity,canton of Brou
砖,used by,建筑工人
孢粉学,studies,灰尘
Peters,given name,Wilhelm
玉兰花,IUCN conservation status,无危物种
吐,has cause,轮状病毒
Japan,basic form of government,世袭君主制
马来西亚,foods traditionally associated,椰浆饭
布鲁,located in the administrative territorial entity,厄尔-卢瓦尔省
砖,topic's main category,Category:砖
吐,has cause,阑尾炎
Japan,basic form of government,君主立宪制
马来西亚,has quality,partly free country
布鲁,located in the administrative territorial entity,沙托丹区
砖,described by source,亚美尼亚苏维埃百科全书
Stuart,place of birth,North Kingstown
Peters,place of birth,科尔登比特尔
吐,has effect,培美曲塞
马来西亚,top-level Internet domain,.my
布鲁,located in time zone,UTC+01:00
孢粉学,topic's main category,Category:Palynology
吐,drug used for treatment,普乐明
Japan,head of state,明仁
马来西亚,topic's main Wikimedia portal,Portal:马来西亚
布鲁,located in time zone,UTC+02:00
孢粉学,described by source,亚美尼亚苏维埃百科全书
Stuart,child,Jane Stuart
Peters,languages spoken written or signed,德语
Japan,office held by head of government,日本内阁总理大臣
马来西亚,topic's main category,Category:马来西亚
布鲁,sister city,弗兰肯贝尔格
吐,drug used for treatment,氟哌啶醇
Japan,head of government,安倍晋三
马来西亚,category of associated people,Category:马来西亚人
布鲁,shares border with,安韦尔
Stuart,occupation,画家
Peters,occupation,探险家
吐,drug used for treatment,甲氧氯普胺
Japan,executive body,日本国政府
马来西亚,category for people born here,Category:马来西亚出身人物
布鲁,shares border with,伊埃夫雷
Stuart,field of work,portrait painting
Peters,occupation,动物学家
吐,drug used for treatment,盐酸异丙嗪
Japan,legislative body,国会
马来西亚,category for people who died here,Category:马来西亚非正常死亡人物
布鲁,different from,布鲁-云乔族
Stuart,genre,肖像
Peters,occupation,herpetologist
吐,drug used for treatment,trimethobenzamide
Japan,highest judicial authority,最高裁判所
马来西亚,category for films shot at this location,Category:马来西亚取景电影
Stuart,notable work,John Jones of Frankley
Peters,occupation,大学教员
吐,drug used for treatment,triflupromazine
Japan,central bank,日本银行
马来西亚,emergency phone number,999
Stuart,notable work,Mrs. Stephen Peabody
马来西亚,geography of topic,马来西亚地理
rattle,subclass of,indirectly struck idiophone
甾体激素,subclass of,甾体
长沙市,instance of,地级市
化合物,instance of,生物学兴趣的化学本体本体术语
卵胎生,subclass of,animal reproduction
Stuart,described by source,Great Soviet Encyclopedia (1969–1978)
吐,drug used for treatment,Dolasetron
马来西亚,history of topic,马来西亚历史
化合物,instance of,group of chemical substances
Tam,instance of,汉姓
哥伦比亚,instance of,主权国家
Stuart,described by source,Stuart Gilbert (1755-1828) (DNB00)
Peters,employer,柏林洪堡大学
吐,drug used for treatment,diphenidol
转氨酶,subclass of,转移酶
排他性,instance of,notion
陶澍,instance of,人类
工资,subclass of,报酬
植被,topic's main category,Category:植被
甾体激素,topic's main category,Category:类固醇激素
化合物,instance of,first-order metaclass
Tam,topic's main category,Category:谭姓
Stuart,described by source,Dictionary of National Biography (1885-1900)
Peters,member of,利奥波第那科学院
吐,drug used for treatment,promazine
工资,subclass of,对价
植被,has part,plant community
长沙市,capital of,马楚
Tam,different from,Tan
Stuart,described by source,亚美尼亚苏维埃百科全书
Peters,member of,瑞典皇家科学院
吐,drug used for treatment,四氢大麻酚
工资,topic's main category,Category:薪酬
植被,has part,vegetation zone
小戴礼记,part of,Five Classics
化合物,subclass of,chemical component
哥伦比亚,instance of,世俗国家
Peters,member of,Russian Academy of Sciences
吐,drug used for treatment,nabilone
陶澍,occupation,政治人物
工资,described by source,亚美尼亚苏维埃百科全书
长沙市,contains administrative territorial entity,芙蓉区
化合物,studied by,化学
Peters,member of,俄罗斯科学院
吐,drug used for treatment,cyclizine
陶澍,position held,两江总督
长沙市,contains administrative territorial entity,天心区
哥伦比亚,named after,克里斯托弗·哥伦布
Peters,member of,普鲁士科学院
吐,drug used for treatment,thiethylperazine
长沙市,contains administrative territorial entity,岳麓区
化合物,topic's main template,Template:Chembox
Peters,described by source,Otto's encyclopedia
吐,drug used for treatment,perphenazine
长沙市,contains administrative territorial entity,开福区
化合物,topic's main category,Category:化合物
哥伦比亚,anthem,哥伦比亚共和国国歌
Peters,described by source,Allgemeine Deutsche Biographie
吐,drug used for treatment,克晕片锭
长沙市,contains administrative territorial entity,雨花区
化合物,described by source,亚美尼亚苏维埃百科全书
吐,drug used for treatment,buclizine
长沙市,contains administrative territorial entity,望城区
吐,drug used for treatment,羟嗪
哥伦比亚,capital,波哥大
吐,drug used for treatment,chlorcyclizine
长沙市,contains administrative territorial entity,宁乡市
化合物,has parts of the class,化学元素
哥伦比亚,highest point,哥伦布峰
吐,drug used for treatment,benzquinamide
长沙市,contains administrative territorial entity,浏阳市
化合物,has parts of the class,moiety
哥伦比亚,highest point,西蒙玻利瓦尔峰
吐,drug used for treatment,劳拉西泮
长沙市,located in time zone,UTC+08:00
化合物,disjoint union of,list values as qualifiers
吐,topic's main category,Category:呕吐
王锦蛇,instance of,生物分类单元
酢浆草属,instance of,生物分类单元
gentry,topic's main category,Category:Gentry
长沙市,sister city,阿雷佐
化合物,catalog,Wikipedia:基础条目
吐,described by source,Otto's encyclopedia
100,part of,100年代
无机物,topic's main category,Category:无机化合物
SA,instance of,主权国家
长沙市,sister city,奥格斯堡
哥伦比亚,office held by head of state,President of Colombia
网,subclass of,filter
高眼鲽,instance of,生物分类单元
裂隙灯,topic's main category,Category:Ophthalmic equipment
针叶林气候,subclass of,cold climate
王锦蛇,parent taxon,锦蛇属
Eaton,located in the administrative territorial entity,普雷布尔县
酢浆草属,parent taxon,酢浆草科
100,follows,99年
南澳岛,capital,后宅镇
长沙市,sister city,弗里堡
哥伦比亚,head of state,胡安·曼努埃尔·桑托斯
环氧乙烷,instance of,Liquido
网,topic's main category,Category:Nets (devices)
Eaton,located in time zone,北美东部时区
长沙市,sister city,鹿儿岛市
哥伦比亚,office held by head of government,President of Colombia
锯缘青蟹,instance of,生物分类单元
历史唯物主义,instance of,Marxist theory
黑核桃,instance of,生物分类单元
西突厥,instance of,蒙古汗国列表
贝格,instance of,Landgemeinde of Austria
柿树科,instance of,生物分类单元
环氧乙烷,instance of,occupational carcinogen
网,has part,grid
布鲁诺,located in the administrative territorial entity,Ludwigslust-Parchim District
高眼鲽,parent taxon,Cleisthenes
酢浆草属,topic's main category,Category:酢浆草属
100,topic's main category,Category:100年
南澳岛,contains administrative territorial entity,后宅镇
长沙市,sister city,金伯利
哥伦比亚,head of government,胡安·曼努埃尔·桑托斯
布鲁诺,located in time zone,UTC+01:00
酢浆草属,described by source,Encyclopedia of Armenian Nature
南澳岛,contains administrative territorial entity,云澳镇
SA,official language,南非语
哥伦比亚,executive body,哥伦比亚政府
Japan,diplomatic relation,亚美尼亚
锯缘青蟹,parent taxon,青蟹属
柿树科,parent taxon,柿树目
环氧乙烷,has effect,Ethylene oxide exposure
布鲁诺,located in time zone,UTC+02:00
